n=92: 16 cubes to run over vars [4, 6, 8, 10, 12] (half=True, 0 already done)
  cube [[4, 0], [6, 0], [8, 0], [10, 1], [12, 0]]: UNDECIDED (900.07s)
  cube [[4, 0], [6, 0], [8, 0], [10, 0], [12, 1]]: UNDECIDED (900.068s)
  cube [[4, 0], [6, 0], [8, 0], [10, 1], [12, 1]]: UNDECIDED (900.011s)
  cube [[4, 0], [6, 0], [8, 1], [10, 0], [12, 0]]: UNDECIDED (900.013s)
  cube [[4, 0], [6, 0], [8, 1], [10, 0], [12, 1]]: UNDECIDED (900.02s)
  cube [[4, 0], [6, 0], [8, 1], [10, 1], [12, 0]]: UNDECIDED (900.016s)
  cube [[4, 0], [6, 0], [8, 0], [10, 0], [12, 0]]: UNSAT (895.045s)
  cube [[4, 0], [6, 1], [8, 0], [10, 0], [12, 0]]: UNDECIDED (900.054s)
  cube [[4, 0], [6, 0], [8, 1], [10, 1], [12, 1]]: UNDECIDED (900.07s)
  cube [[4, 0], [6, 1], [8, 0], [10, 0], [12, 1]]: UNDECIDED (900.056s)
  cube [[4, 0], [6, 1], [8, 0], [10, 1], [12, 0]]: UNDECIDED (900.045s)
  cube [[4, 0], [6, 1], [8, 0], [10, 1], [12, 1]]: UNDECIDED (900.041s)
  cube [[4, 0], [6, 1], [8, 1], [10, 0], [12, 0]]: UNDECIDED (900.045s)
  cube [[4, 0], [6, 1], [8, 1], [10, 1], [12, 0]]: UNDECIDED (900.012s)
  cube [[4, 0], [6, 1], [8, 1], [10, 0], [12, 1]]: UNDECIDED (900.009s)
  cube [[4, 0], [6, 1], [8, 1], [10, 1], [12, 1]]: UNDECIDED (900.004s)
n=92 cube summary: UNSAT=1 SAT=0 UNDECIDED=15 in 5499s
