BEST 5 2 944
PROGRESS nodes=2147483648 best=944 depth=942
PROGRESS nodes=4294967296 best=944 depth=939
PROGRESS nodes=8589934592 best=944 depth=942
PROGRESS nodes=10737418240 best=944 depth=942
PROGRESS nodes=12884901888 best=944 depth=943
PROGRESS nodes=17179869184 best=944 depth=935
PROGRESS nodes=19327352832 best=944 depth=945
PROGRESS nodes=21474836480 best=944 depth=933
PROGRESS nodes=32212254720 best=944 depth=943
PROGRESS nodes=42949672960 best=944 depth=945
PROGRESS nodes=47244640256 best=944 depth=938
PROGRESS nodes=51539607552 best=944 depth=945
PROGRESS nodes=55834574848 best=944 depth=945
PROGRESS nodes=57982058496 best=944 depth=940
PROGRESS nodes=60129542144 best=944 depth=942
PROGRESS nodes=62277025792 best=944 depth=937
PROGRESS nodes=64424509440 best=944 depth=926
PROGRESS nodes=66571993088 best=944 depth=944
PROGRESS nodes=68719476736 best=944 depth=944
PROGRESS nodes=70866960384 best=944 depth=941
PROGRESS nodes=73014444032 best=944 depth=944
PROGRESS nodes=75161927680 best=944 depth=943
PROGRESS nodes=77309411328 best=944 depth=930
PROGRESS nodes=79456894976 best=944 depth=944
PROGRESS nodes=81604378624 best=944 depth=944
PROGRESS nodes=83751862272 best=944 depth=945
PROGRESS nodes=85899345920 best=944 depth=944
PROGRESS nodes=88046829568 best=944 depth=944
PROGRESS nodes=90194313216 best=944 depth=945
PROGRESS nodes=92341796864 best=944 depth=940
PROGRESS nodes=94489280512 best=944 depth=944
PROGRESS nodes=96636764160 best=944 depth=940
PROGRESS nodes=98784247808 best=944 depth=945
PROGRESS nodes=100931731456 best=944 depth=938
PROGRESS nodes=103079215104 best=944 depth=941
PROGRESS nodes=105226698752 best=944 depth=938
PROGRESS nodes=107374182400 best=944 depth=939
PROGRESS nodes=109521666048 best=944 depth=942
PROGRESS nodes=111669149696 best=944 depth=942
PROGRESS nodes=113816633344 best=944 depth=943
PROGRESS nodes=115964116992 best=944 depth=942
PROGRESS nodes=118111600640 best=944 depth=944
PROGRESS nodes=120259084288 best=944 depth=944
PROGRESS nodes=124554051584 best=944 depth=944
PROGRESS nodes=126701535232 best=944 depth=943
PROGRESS nodes=128849018880 best=944 depth=942
PROGRESS nodes=130996502528 best=944 depth=943
PROGRESS nodes=135291469824 best=944 depth=944
PROGRESS nodes=137438953472 best=944 depth=942
PROGRESS nodes=139586437120 best=944 depth=938
PROGRESS nodes=141733920768 best=944 depth=944
PROGRESS nodes=143881404416 best=944 depth=942
PROGRESS nodes=146028888064 best=944 depth=944
PROGRESS nodes=148176371712 best=944 depth=943
PROGRESS nodes=150323855360 best=944 depth=934
PROGRESS nodes=152471339008 best=944 depth=914
PROGRESS nodes=154618822656 best=944 depth=944
PROGRESS nodes=156766306304 best=944 depth=942
PROGRESS nodes=161061273600 best=944 depth=943
PROGRESS nodes=165356240896 best=944 depth=945
PROGRESS nodes=167503724544 best=944 depth=945
PROGRESS nodes=169651208192 best=944 depth=942
PROGRESS nodes=171798691840 best=944 depth=941
PROGRESS nodes=173946175488 best=944 depth=940
